row_id,source_file,experiment_date,verdict,notes,measured_CP_voltage_V_stateA,measured_CP_voltage_V_stateB,measured_CP_voltage_V_stateC,measured_CuO_peak_cm-1,measured_CuO_peak_position_cm-1,measured_IACS_pct,measured_IP_rating,measured_N_content_at_pct,measured_S1_resistivity_ohm_m,measured_S2_resistivity_ohm_m,measured_S3_resistivity_ohm_m,measured_S4_resistivity_ohm_m,measured_S5_resistivity_ohm_m,measured_TCR_per_C,measured_aging_test,measured_ambient_temp_range_C,measured_ampacity_A_cm2,measured_cable_OD_max_mm,measured_cable_cross_section_mm2_control,measured_cable_cross_section_mm2_test,measured_cable_diameter_mm_control,measured_cable_diameter_mm_test,measured_cable_pull_force_N,measured_cable_weight_kg,measured_cable_weight_lbs_per_mft,measured_comparison_wire_diameter_um,measured_conductivity_change_pct_anneal,measured_conductivity_change_pct_graphene,measured_conductivity_improvement_pct,measured_connector_dimension_mm,measured_connector_weight_kg,measured_contact_resistance_target_uOhm,measured_coverage_pct,measured_cross_section_mm2_control,measured_cross_section_mm2_test,measured_cross_section_reduction_pct,measured_current_density_A_cm2_max,measured_delta_Tsk_C_control,measured_delta_Tsk_C_general_sheet,measured_delta_Tsk_C_graphene_sheet,measured_diameter_anneal_um,measured_diameter_bare_um,measured_diameter_change_pct,measured_diameter_graphene_um,measured_dielectric_test_V_LN_CP,measured_dielectric_test_V_LN_PE,measured_dielectric_test_Vac,measured_electrical_conductivity_S_m,measured_elongation_pct,measured_flexing_force_N,measured_ground_conductor_AWG,measured_high_voltage_test_VAC,measured_high_voltage_test_VDC,measured_humidity_test,measured_insertion_force_N,measured_insulation_material,measured_insulation_resistance_GOhm_L_N_CP_control,measured_insulation_resistance_GOhm_L_N_CP_test,measured_insulation_resistance_GOhm_L_N_PE,measured_insulation_resistance_MOhm,measured_insulation_resistance_improvement_pct,measured_insulation_resistance_range_MOhm,measured_insulation_thickness_power_mm,measured_intensity_change_pct,measured_jacket_material,measured_kelvin_resistance_range_Ohm,measured_min_Tsk_C_control,measured_min_Tsk_C_general_sheet,measured_min_Tsk_C_graphene_sheet,measured_note,measured_p_value,measured_power_conductor_AWG,measured_power_conductor_diameter_mm,measured_pull_force_N,measured_push_pull_force_lbs,measured_raman_D_peak_cm-1,measured_raman_G_peak_cm-1,measured_raman_I2D_IG,measured_raman_ID_IG,measured_raman_measurement_points,measured_raman_scan_range_cm-1,measured_rated_current_A,measured_rated_current_power_A,measured_rated_current_signal_A,measured_rated_voltage_Vdc,measured_rated_voltage_power_Vdc,measured_rated_voltage_signal_V,measured_reaction_time_min_variants,measured_resistance,measured_resistance_change_pct_anneal,measured_resistance_change_pct_graphene,measured_resistivity_change_pct,measured_resistivity_change_pct_50um,measured_resistivity_change_pct_80um,measured_resistivity_change_pct_unit,measured_resistivity_range_50um_asgrown_ohm_m,measured_resistivity_range_50um_bare_ohm_m,measured_resistivity_range_80um_ohm_m,measured_resistivity_ratio_pct,measured_resistivity_uOhm_cm_composite,measured_resistivity_uOhm_cm_pure_Cu,measured_sample_label,measured_signal_conductor_AWG,measured_signal_current_A,measured_signal_voltage_Vdc,measured_specific_conductivity_S_cm2_g,measured_specific_conductivity_S_cm_mg,measured_surface_temp_C_control_7kW,measured_surface_temp_C_test_7kW,measured_temp_C_cable_control,measured_temp_C_cable_test,measured_temp_C_connector_control,measured_temp_C_connector_test,measured_temp_C_internal_wiring_L_control,measured_temp_C_internal_wiring_L_test,measured_temp_C_internal_wiring_N_control,measured_temp_C_internal_wiring_N_test,measured_temp_diff_C,measured_temp_diff_C_10min,measured_temp_diff_C_1min,measured_temp_diff_C_2min,measured_temp_diff_C_3min,measured_temp_diff_C_4min,measured_temp_diff_C_5min,measured_temp_reduction_pct_cable,measured_temp_rise_C,measured_temp_rise_C_general_IR,measured_temp_rise_C_general_contact,measured_temp_rise_C_graphene_IR,measured_temp_rise_C_graphene_contact,measured_temp_rise_C_multi_general,measured_temp_rise_C_multi_graphene,measured_temp_rise_C_single_general,measured_temp_rise_C_single_graphene,measured_temp_rise_limit_C,measured_tensile_strength,measured_tensile_strength_MPa,measured_tensile_strength_ratio,measured_test_condition,measured_thermal_conductivity_Cu_W_mK,measured_thermal_conductivity_W_mK,measured_thermal_conductivity_graphene_W_mK,measured_thermal_conductivity_ratio_pct_of_Cu,measured_thermal_diffusivity_mm2_s,measured_thickness_bare_um,measured_thickness_change_pct,measured_thickness_graphene_um,measured_torque_Nm,measured_unit_note,measured_weight,measured_weight_reduction_pct,measured_youngs_modulus_GPa,process_anneal_condition,process_gas,process_gas_flow,process_gas_flow_set1,process_gas_flow_set2,process_gas_flow_set3,process_gas_flow_set4,process_gas_flow_set5,process_graphene_condition,process_material,process_note,process_other_conditions,process_precursor,process_pressure,process_product,process_reaction_time_min,process_size,process_standard,process_substrate,process_synthesis_method,process_temperature_C,process_test_condition,process_wire_spec
1,그래핀 구리 와이어 실험 보고_24.01.19 (그래핀스퀘어케미칼) (3).pptx,2024-01-19,양품(성능개선),50um 와이어 그래핀 합성 후 비저항 20% 감소. 정확 수치는 그래프 이미지 추정치.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,,,"% (Bare 대비 As-grown 비저항 변화, 50um)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As-grown graphene (합성조건 미기재), 4-probe measurement, Ag 전극, 측정길이 4cm",,,,,,,Cu wire 50um,,,,
2,그래핀 구리 와이어 실험 보고_24.01.19 (그래핀스퀘어케미칼) (3).pptx,2024-01-19,양품(성능개선),80um 와이어 그래핀 합성 후 비저항 11% 감소. 50um보다 개선폭 작음.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11,,,"% (Bare 대비 As-grown 비저항 변화, 80um)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As-grown graphene, 4-probe measurement, Ag 전극, 측정길이 4cm",,,,,,,Cu wire 80um,,,,
3,그래핀 구리 와이어 실험 보고_24.01.19 (그래핀스퀘어케미칼) (3).pptx,2024-01-19,판정보류(Raman 검증필요),Bare Cu는 산화 후 비저항 감소 - 미산화 또는 열처리효과 추정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"산화 후 비저항 감소(정확수치 미기재), Y축 범위 0~1E-7 Ohm*m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,산화조건: 300도 hot plate 24시간 가열 + 실온 쿨링,,,,,,,"Cu wire 50um, Bare",,,,
4,그래핀 구리 와이어 실험 보고_24.01.19 (그래핀스퀘어케미칼) (3).pptx,2024-01-19,그래핀 산화방지효과 추정,Raman 산화peak 검증 예정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"산화 전후 변화폭이 Bare 대비 더 작음 (그래핀 보호효과 시사), Y축 범위 0~7E-8 Ohm*m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cu wire 50um, As-grown",,,,
5,그래핀 구리 와이어 실험 보고_23.12.01 (그래핀스퀘어케미칼) (2).pptx,2023-12-01,판정근거 부족(정량값 없음),"D,G,2D 피크는 그래프상 위치 추정(D~1350,G~1580,2D~2700 cm-1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,Sample 3_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2 10sccm, CH4 200sccm",,,,,,,,,"쿼츠 튜브 내 전선 삽입, SiO2 기판 위 transfer 후 OM/Raman 관찰",,,,Anneal 90 + Growth 60,,,구리 연동선 50um (Cu Wet Etching APS 병행),Thermal CVD,1000,,
6,그래핀 구리 와이어 실험 보고_23.12.01 (그래핀스퀘어케미칼) (2).pptx,2023-12-01,양품(다층 고품질 그래핀 추정),I2D/IG=3.18은 단층 그래핀 가능성 시사(일반적으로 I2D/IG>2). OM상 다층 그래핀 관찰 서술과 다소 상충.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,,Sample 3_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2 10sccm, CH4 200sccm",,,,,,,,,,,,,Anneal 90 + Growth 60,,,구리 연동선 50um,Thermal CVD,1000,,
7,240809_과제 추가용 데이터 (1).pptx,,"양품(1단계 목표 D/G<=0.2 충족, 2단계 목표 0.1 근접충족)",시료명: Graphene on Cu wire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,무차원 비율,,,,,,,,,,,,,,,"Raman laser point 20um, 측정범위 1000-3200cm-1",,,,,,,Cu wire,CVD,,,
8,240809_과제 추가용 데이터 (1).pptx,,"1단계 목표(5%이하) 충족, 2단계 목표(2%이하) 근소미충족",그래핀 코팅 후 두께 감소(측정오차 가능성 있음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8,2.3,49.6,,,,,,,,,,,,,,,,,,,,,,,,Bare Cu wire vs Graphene-coated Cu wire,,,,
9,240809_과제 추가용 데이터 (1).pptx,,"산화억제 확인(정성적, 정량값 없음)","Bare Cu는 산화후 뚜렷한 CuO peak, Graphene Cu는 변화 적음",,,,,"[300, 630]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,산화조건: 100도 핫플레이트 24시간 가열,,,,,,,,,,,
10,2024-7-30_ GSC 그래핀 구리 전선 시험성적 결과.pptx,2024-07-30,실험설계단계,Set5(CH4최대유량) 결과가 그래핀 합성유무 판단 핵심,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-set CVD 합성조건 실험설계표. 실측 결과는 이후 슬라이드 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2 5sccm, CH4 80sccm","H2 5sccm, CH4 100sccm","H2 10sccm, CH4 100sccm","H2 10sccm, CH4 200sccm","H2 10sccm, CH4 200sccm",,,,,,,,"Anneal 90(all sets), Growth 30(set1-4)/60(set5)",,,Cu wire 50/80um,CVD,1000,,
